i,j,k,Alt_Si3N4,Anc_Si3N4,lambda,n_eff,A_eff,lambda_nm
3,5,1,0.4,1.1666666666666665,1.0568367346938774,1.776312590430557,4.17307583211263e-13,1056.8367346938774
3,5,2,0.4666666666666667,1.1666666666666665,1.0568367346938774,1.810532168394033,4.445133065436632e-13,1056.8367346938774
3,5,3,0.5333333333333333,1.1666666666666665,1.0568367346938774,1.8365236327621348,4.75813544129554e-13,1056.8367346938774
3,5,4,0.6000000000000001,1.1666666666666665,1.0568367346938774,1.856365346927109,5.091793904657394e-13,1056.8367346938774
3,5,5,0.6666666666666667,1.1666666666666665,1.0568367346938774,1.8720471382335058,5.441727178992218e-13,1056.8367346938774
3,5,6,0.7333333333333334,1.1666666666666665,1.0568367346938774,1.8844410545820671,5.798408465166301e-13,1056.8367346938774
3,5,7,0.8,1.1666666666666665,1.0568367346938774,1.8945818085167145,6.16587194990654e-13,1056.8367346938774
3,5,8,0.8666666666666667,1.1666666666666665,1.0568367346938774,1.9028622140356932,6.535879806154611e-13,1056.8367346938774
3,5,9,0.9333333333333333,1.1666666666666665,1.0568367346938774,1.9098148361202585,6.913919193560901e-13,1056.8367346938774
3,5,10,1.0,1.1666666666666665,1.0568367346938774,1.9155884618368335,7.291004994666508e-13,1056.8367346938774
